fonte,pagina,titolo,n_parole,contenuto
wikivoyage,Venezia,Introduzione,14,Venezia è il capoluogo del Veneto ed una delle maggiori destinazioni del turismo internazionale.
wikivoyage,Venezia,Da sapere,236,"Già capitale dell'omonima repubblica marinara, il centro storico di Venezia si è arricchito nel corso dei secoli di grandiosi monumenti artistici, manifestazione dell'opulenza che, grazie ai commerci marittimi, aveva raggiunto la città. L'incomparabile collocazione al centro di una laguna e la bellezza dei suoi palazzi la rendono una città unica al mondo. Venezia ha subito un declino rispetto al suo periodo di massimo splendore e soffre del sovraffollamento turistico, ma il suo fascino romantico è rimasto intatto.
Venezia e la sua laguna sono patrimonio mondiale dell'UNESCO. 


=== Cenni geografici ===

Il centro di Venezia è composta da 118 isolette, collegate tra loro da ponti, situate al centro della Laguna di Venezia. Una volta completamente isolata, oggi Venezia è collegata alla sua terraferma mediante un ponte ferroviario ed uno automobilistico.
Nella laguna sorgono inoltre svariate isole e centri abitati che fanno parte integrante della città.
A partire dal dopoguerra, inoltre, Venezia ha avuto un tumultuoso sviluppo urbano che ha trovato sfogo nella sua terraferma, principalmente nei due centri di Mestre e Marghera. La terraferma veneziana oggi comprende circa i due terzi della popolazione del comune.
La tortuosa conformazione della città, le cui vie di comunicazione principali sono costituite da canali, rende impossibile il traffico automobilistico: Venezia è pertanto un'immensa isola pedonale.
Venezia è il capoluogo del Veneto: il suo centro storico (escluse le isole limitrofe) conta 58.600 abitanti, 160 canali e 435 ponti.


=== Quando andare ==="
wikivoyage,Venezia,Da sapere,165,"La stagione turistica dura tutto l'anno rendendo difficile trovare alloggio senza prenotazione, specialmente nel periodo fra Pasqua e ottobre, durante le feste natalizie e a Carnevale (febbraio) e nei mesi di luglio e agosto.
Particolarmente difficile è trovare alloggio nel periodo del Festival del Cinema (fine agosto, primi di settembre).
Nei mesi di luglio e agosto, oltre al problema dell'alloggio, risulta difficile godere appieno della città, a causa dell'afa e dell'eccessivo afflusso turistico (in gran parte costituito da pendolari, dalle limitrofe località balneari).
Un buon periodo per visitare Venezia sono le stagioni intermedie, quando il clima è godibile e l'afflusso non è eccessivo.
Affascinante è anche il periodo invernale, quando l'afflusso è minimo. Durante questa stagione, soprattutto la notte, la città può essere deserta e silenziosa. Comune è la nebbia, che conferisce alla città un aspetto surreale.
Nei mesi da novembre ad aprile è possibile imbattersi nel fenomeno dell'acqua alta: può essere utile (ma non indispensabile) munirsi di stivali di gomma.


=== Cenni storici ==="
wikivoyage,Venezia,Da sapere,264,"Il primo insediamento storico viene fatto risalire al 25 marzo 421, data della consacrazione della chiesa di San Giacometo, quando le popolazioni della terraferma, in fuga dalle invasioni barbariche, cercarono rifugio nella laguna.
Fu un'altra invasione, la discesa di Pipino (Carlomanno) nell'821, a decretare il prevalere della zona più sicura, la riva alta (Rialto), fra tutti i centri circostanti ed a darle il titolo di capitale del Ducato di Venezia.
La posizione geografica favorevole all'interno del Mediterraneo ne favorì l'ascesa e il fiorire di scambi con l'Europa e Costantinopoli ne sancirono la definitiva consacrazione a potenza marina e Repubblica Marinara al fianco di Genova, Pisa e Amalfi. Tuttavia, rispetto alle altre città marinare italiane Venezia riuscì a raggiungere una ricchezza e potenza senza pari che la pose non solo ai primi posti in Italia ma anche ai primi posti in Europa. Distinguendosi anche per le proprie istituzioni straordinariamente efficienti e ""democratiche"" per l'epoca.
Al massimo del suo splendore Venezia estendeva il suo dominio dalla Dalmazia all'Istria a molte isole dell'Egeo (fra cui Creta, Cipro e Corfù), mentre sulla terraferma raggiungeva Brescia e Belluno.
Fu lo spostamento del baricentro commerciale europeo verso le Americhe e l'estenuante ed impari lotta contro l'Impero Ottomano a decretare l'inizio della fine per la repubblica marinara dell'Adriatico.
Ciononostante, Venezia rimase indipendente per più di 1000 anni fino alla venuta di Napoleone (12 maggio 1797), costituendo comunque un centro di interesse e riferimento per le arti, l'architettura e la letteratura in Europa. Il 17 ottobre 1797 la neo costituita Municipalità di Venezia venne ceduta insieme a Veneto, Istria, Dalmazia all'Impero Austro-Ungarico."
wikivoyage,Venezia,Come orientarsi,69,"In più punti della città sono presenti indicazioni scritte in nero su fondo giallo che segnano la direzione da seguire per raggiungere i luoghi più importanti. In caso di dubbi si consiglia di seguire la direzione mostrata da tali indicazioni.


=== Quartieri ===
La città è divisa in sei sestieri riportati di seguito:

Nella laguna, inoltre, vi sono svariate isole ed insediamenti spiegati meglio nell'articolo sulla Laguna di Venezia."
wikivoyage,Venezia,Come arrivare,254,"=== In aereo ===

Aeroporto di Venezia — a 10 km dal centro città. I due modi più economici per raggiungere Venezia dall'aeroporto sono la linea 5 dell'ACTV che parte ogni 30 minuti, o la navetta blu dell'ATVO che raggiunge piazzale Roma. Più comode, anche se leggermente più costose sono le linee dell'Alilaguna, che partono dalla vicina darsena. Sempre da tale darsena, partono i più costosi taxi acquei.

Aeroporto di Treviso — A una trentina di km da Venezia. All'aeroporto di Treviso atterrano voli di compagnie low-cost.


=== In auto ===
Autostrada A4 da Torino e Trieste
Autostrada A27 da Belluno
Autostrada A13 da Bologna
In prossimità della laguna, imboccare il Ponte della Libertà sino a Venezia-Piazzale Roma, punto estremo dell'arrivo in auto.


==== Parcheggi ====
Venezia non è percorribile in automobile, quindi le auto devono essere lasciate nei parcheggi (circa 20€ al giorno) all'entrata della città. Anche a Mestre esistono parcheggi custoditi (più economici). Il parcheggio di fronte alla Stazione di Mestre costa 6 € per 24 ore nei giorni feriali, 10 € per 24 ore nei festivi. Dalla stazione di Mestre partono numerosi treni per Venezia Santa Lucia; i biglietti (1.20€ a luglio 2013) si possono acquistare nel distributore automatico un po' decentrato - si trova oltre l'atrio della biglietteria sul primo binario - evitando le eventuali code.
Inoltre è possibile raggiungere Venezia e le isole parcheggiando le auto al Terminal di Treporti, da dove partono vaporetti ogni trenta minuti per Venezia e altre isole lagunari (Burano, Mazzorbo, Murano, Torcello e Sant'Erasmo)."
wikivoyage,Venezia,Come arrivare,247,"  Venezia Tronchetto Parking, Isola Nova del Tronchetto 33/m, ☎ +39 041 5207555, ufficioclienti.italia@interparking.com.  aperto 24h 7/7.  
  Isola Nova Parking, C.so Buenos Aires 64, ☎ +39 392 5800481, Isolanovaparking@gmail.com.  aperto 24h 7/7.  
  Autorimessa comunale, Piazzale Roma Santa Croce 496, ☎ +39 041 2722387.  aperto 24h 7/7.  
  Garage San Marco Venezia, Piazzale Roma 467f, ☎ +39 041 5232213.  aperto 24h 7/7.  
In alternativa si può raggiungere in auto, mediante un ferry boat, l'isola del Lido, dove sorgono numerosi alberghi. Il Lido è servito da numerose corse dei mezzi acquei, che in pochi minuti arrivano al centro storico.
Per arrivare a Venezia si noleggiare un'auto (seppur sconsigliato) con:

Noleggio auto Venezia aeroporto
Autonoleggio Venezia


=== In nave ===

La stazione marittima di Venezia è un importante terminal crocieristico ed ha attivi collegamenti marittimi per Slovenia, Croazia, Grecia e Turchia.


=== In treno ===
1 Stazione di Venezia Santa Lucia — Numerosi treni provenienti dalle principali città italiane raggiungono la stazione di Venezia Santa Lucia. Da Venezia Mestre partono continuamente treni che in 10 minuti giungono a Venezia Santa Lucia. Il biglietto costa circa 1.20€ (a luglio 2013). La stazione di Venezia Santa Lucia si trova di fronte alla fermata del vaporetto di Canal Grande.


=== In autobus ===
Da Mestre partono gli autobus ACTV numero 2, 4, 7, 12 e 24 che raggiungono piazzale Roma. Dal 16 settembre 2015 anche il tram collega Mestre alla città dei Dogi. (Si aggiungeranno nel tempo altri tragitti sia da Mestre che da Marghera)"
wikivoyage,Venezia,Come spostarsi,250,"Il mezzo migliore e più utilizzato per girare la città, sia dai residenti, che dai veneziani, sono i piedi, considerato, oltretutto, l'elevato costo dei trasporti pubblici. Il centro storico non è molto grande, e in circa un'ora lo si attraversa completamente.
Per orientarsi lungo le direttrici più battute si possono seguire le apposite segnaletiche gialle.
Forse non tutti sanno che le gondole sono utilizzate dai veneziani per il classico “tragheto” ovvero un passaggio in gondola da una riva all’altra del Canal Grande.
Le due rive del Canal Grande erano collegate fino al 2008 solo da 3 ponti (degli Scalzi, di Rialto e dell'Accademia) e solo di recente si è aggiunto il quarto: Ponte della Costituzione detto Ponte di Calatrava, dal nome dell'architetto progettista, che unisce piazzale Roma con la zona della Ferrovia.


=== Con mezzi pubblici ===


==== Vaporetti ====

Il trasporto pubblico di persone è svolto principalmente dall'ACTV mediante la sua flotta di mezzi acquei che comprende, a fianco dei celebri vaporetti, anche altre tipologie di mezzi, quali i cosiddetti motoscafi, e le più grosse motonavi. Le tariffe sono disponibili nell'apposito tariffario.
Per gli utilizzatori occasionali i trasporti sono abbastanza cari: il biglietto ordinario costa 9,50€ (luglio 2026) per 75 minuti. Esistono anche biglietti turistici a tempo (20,00 € - 1 GIORNO, 30,00 € - 2 GIORNI, 40,00€ - 3 GIORNI, 60,00€ - 7 GIORNI a giugno 2015). Il biglietto va validato all’accesso.
NB: in alcune fermate sono presenti i tornelli nonché l’accesso prioritario per i possessori di abbonamento."
wikivoyage,Venezia,Come spostarsi,711,"1: P.Le Roma Parisi/S.Chiara ""D/G"" — Ferrovia ""E"" — Riva de Biasio — S.Marcuola (Casinò) — S.Stae — Ca' d'Oro — Rialto Mercato — Rialto ""B/A"" — S.Silvestro — S.Angelo — S.Tomà — Ca'Rezzonico — Accademia ""A/C"" — Giglio — Salute — S.Marco Vallaresso — S.Marco S.Zaccaria (Danieli) ""F/E"" — Arsenale — Giardini — S.Elena — Lido Santa Maria Elisabetta (di seguito, SME) ""D"" e viceversa. Adatta a chi vuole godersi un tour panoramico del Canal Grande.
2: S.Marco S.Zaccaria (M.V.E.) ""B"" — S.Giorgio — Zitelle — Redentore — Palanca — Zattere — S.Basilio — Sacca Fisola — Tronchetto — Mercato Ortofrutticolo — P.Le Roma (S.Chiara) ""F/G"" — Ferrovia ""B/A"" — S.Marcuola — Rialto ""D/C"" — S.Tomà — S.Samuele — Accademia ""A/C"" — S. Marco Giardinetti e viceversa. Lungo il Canal Grande effettua meno fermate rispetto alla linea 1, pertanto è comoda per raggiungere velocemente i vari punti.
2 /: P.Le Roma - Ferrovia - Rialto.
3: (entro le 16:00) P.Le Roma ""D"" — Ferrovia ""D"" — Murano Colonna ""A"" — Murano Faro — Murano Navagero — Murano Museo — Murano Da Mula — Murano Venier — Ferrovia ""C"" — P.Le Roma ""E"". (Dopo le 16:00) P.Le Roma ""D"" — Ferrovia ""D"" — Murano Venier — Murano Da Mula — Murano Museo — Murano Navagero — Murano Colonna ""A"" — Murano Faro — Ferrovia ""C"" — P.Le Roma ""E"".
4.1: parte da Murano e raggiunge Venezia alle Fondamenta Nuove. Gira intorno alla città, imbocca il Canale di Cannaregio, passa davanti alla Stazione Ferroviaria, imbocca il Canale di Santa Chiara e poi quello della Giudecca, passa in Bacino San Marco, gira intorno a Sant’Elena, costeggia Venezia a nord e ritorna a Murano.
4.2: fa il giro al contrario della Linea 4.1.
5.1: parte dal Lido, costeggia tutta Venezia nord, imbocca il Canale di Cannaregio, passa davanti alla Ferrovia, percorre il Canale della Giudecca e ritorna al Lido.
5.2: fa il giro al contrario della Linea 5.1.
6: P.Le Roma Parisi / S.Andrea ""E / B"" - S. Marta - S. Basilio - Zattere - Spirito Santo - Giardini Biennale - S. Elena - Lido (SME) ""B"" e viceversa (solo giorni feriali)
7: S. Marco/S.Zaccaria - Murano (Navagero - Faro - Colonna) - S. Marco/S.Zaccaria
8: San Basilio - Giudecca - Giardini - Lido SME / S. Nicolò e viceversa
9: Burano — Torcello e viceversa
10: Zattere - Lido (SME) ""E"" e viceversa (solo giorni feriali, vv ferma anche a S. Marco (Giardinetti))
11: Lido (SME) — Alberoni (Faro Rocchetta) — S.Maria Del Mare — Pellestrina (Cimitero) — Caroman — Chioggia e viceversa
12: Venezia (F. Te Nove) ""A"" - Murano (Faro) - Mazzorbo - Torcello - Burano - Treporti - Punta Sabbioni vv (Torcello è visitabile quando la Linea 9 non è in navigazione)
13: Venezia (F.Te Nove) ""D"" — Murano (Faro) — Vignole — S.Erasmo Capannone — S.Erasmo Chiesa — S.Erasmo Punta Vela — Treporti e viceversa
14: S.Marco-S.Zaccaria ""A"" — Lido (SME) ""C"" — Punta Sabbioni e viceversa
15: S.Marco-S.Zaccaria ""A"" — Punta Sabbioni e viceversa
16: Venezia (Zattere) — Fusina e viceversa
17: Tronchetto — Lido (S. Nicolò) e viceversa
18: Murano (Navagero - Faro - Colonna) - Lido SME / S. Nicolò e viceversa
20: S.Marco-S.Zaccaria (M.V.E.) ""B"" — S.Servolo — S.Lazzaro — S.Servolo — S.Marco-S.Zaccaria (M.V.E.) ""B""
22: Tre Archi — F.Te Nove ""D/C"" — Ospedale — Punta Sabbioni e viceversa
N: (linea notturna) S.Marco-S.Zaccaria (Jolanda) ""D"" — Zitelle — Redentore — Giudecca Palanca — Zattere — Giudecca Palanca — S.Basilio — Sacca Fisola — Tronchetto — Tronchetto Mercato — P.Le Roma (S.Chiara) ""F/G"" — Ferrovia ""B/A"" — Riva De Biasio — S.Marcuola Casinò — S.Stae — Ca' D'oro — Rialto Mercato — Rialto ""D/C"" — S.Tomà — S.Samuele — Accademia ""A/C"" — S.Marco Vallaresso — S.Marco-S.Zaccaria (Danieli) ""F/E"" — Giardini — S.Elena — Lido (SME) ""D""
NLN: (Linea Notturna Laguna Nord) F.Te Nove ""D"" — Murano (Faro) — Vignole — S.Erasmo Capannone — S.Erasmo Chiesa — S.Erasmo Punta Vela — Mazzorbo — Torcello — Burano — Treporti — Punta Sabbioni v.v.
NMU: (Linea Notturna Murano) F.Te Nove ""B"" — Murano Colonna ""C"" — Murano Faro — Murano Navagero — Murano Museo — Murano Venier — Murano Serenella — Murano Colonna ""A"" — F.Te Nove ""B"""
wikivoyage,Venezia,Come spostarsi,197,"
==== People mover ====

Il People mover di Venezia è in funzione dal 2010, ha una lunghezza di 0,857 km con partenze ogni 7 minuti. Il percorso va da Piazzale Roma (nei pressi della Stazione Santa Lucia) attraverso la fermata Marittima (porto) fino all'isola del Tronchetto del sestiere Santa Croce.


==== Vari tipi di carte ====

Se si pensa di tornare spesso a Venezia o per soggiorni lunghi, è senz'altro consigliabile acquistare la tessera Venezia Unica che, contrariamente a quanto si pensa, non è riservata solo ai residenti, ma può essere richiesta da chiunque. Se abilitata alla navigazione, tale tessera dà il diritto ad avere le corse al prezzo ridotto di €1,30 per un tempo di 75 min. Il costo della tessera Venezia Unica varia a seconda della residenza del richiedente: (maggio 2014) 10 € per i residenti nel comune di Venezia, 10€ (tessera) + 10€ (navigazione) per i residenti nella Regione Veneto e 10€ (tessera) + 30€ (navigazione) per tutti gli altri (Actv).
È disponibile una carta per l'ingresso nei musei e monumenti, in diverse tipologie. La Venice Card esiste in due versioni (arancio e blu), ognuna disponibile per 12 ore, 48 ore o 7 giorni."
